time,x_original,x_envelope,x_triangle,x_square,v_original,v_envelope,v_triangle,v_square,a_original,a_envelope,a_triangle,a_square
0.0,0.0,0.0,0.0,0.0,0.020733025848875434,0.010409501717543587,0.0132,1.0,-0.00044566112328107976,0.004074126730139321,0.0,-50.0
0.01,0.00020733025848875434,0.00010409501717543586,0.000132,0.01,0.020728569237642623,0.01045024298484498,0.0132,0.5,-0.0008912264506862402,0.0059969403603916775,0.0,-50.0
0.02,0.0004145713847528525,0.0002090048596968996,0.000264,0.01,0.02071520131986171,0.01052944052475142,0.0132,0.0,-0.0017820697590521795,0.00768943098214828,0.0,-25.0
0.03,0.0006216342848859885,0.0003146838276704643,0.00039600000000000003,0.01,0.02069292784246158,0.010604031604487946,0.0132,0.0,-0.002672146947493327,0.007225189102777127,4.3368086899420177e-16,0.0
0.04,0.0008284299416020841,0.0004210854917866585,0.000528,0.01,0.020661758380911843,0.010673944306806963,0.013200000000000009,0.0,-0.0035610753677627408,0.00675385921618055,0.0,0.0
0.05,0.0010348694525042254,0.0005281627138066035,0.0006600000000000002,0.01,0.020621706335106325,0.010739108788811557,0.0132,0.0,-0.004448472865472945,0.006275651307495293,-4.3368086899420177e-16,0.0
0.06,0.0012408640683042105,0.0006358676675628897,0.0007920000000000001,0.01,0.020572788923602384,0.010799457332956869,0.0132,0.0,-0.005333957944390205,0.005790780413899958,0.0,0.0
0.07,0.001446325230976273,0.000744151860465741,0.0009240000000000002,0.01,0.02051502717621852,0.010854924397089556,0.0132,0.0,-0.006217149930437364,0.005299466526774866,0.0,0.0
0.08,0.001651164611828581,0.0008529661555046808,0.001056,0.01,0.020448445924993636,0.010905446663492366,0.0132,0.0,-0.0070976691353447086,0.004801934490542958,8.673617379884035e-16,0.0
0.09,0.0018552941494761458,0.0009622607937355883,0.0011880000000000003,0.01,0.020373073793511626,0.010950963086900415,0.013200000000000017,0.0,-0.007975137019886405,0.004298413898210212,-2.6020852139652106e-16,0.0
0.1,0.0020586260876988135,0.001071985417242689,0.0013200000000000004,0.01,0.020288943184595908,0.01099141494145657,0.013199999999999995,0.0,-0.008849176356616126,0.0037891389837008127,-1.6479873021779667e-15,0.0
0.11,0.002261073013168064,0.0011820890925647197,0.0014520000000000002,0.01,0.020196090266379304,0.011026745866574431,0.013199999999999984,0.0,-0.00971941139202917,0.0032743485110287886,6.071532165918825e-16,0.0
0.12,0.0024625478930263996,0.0012925203345741777,0.0015840000000000001,0.01,0.020094554956755325,0.011056901911677146,0.013200000000000007,0.0,-0.010585468008110846,0.0027542856603107214,1.6479873021779667e-15,0.0
0.13,0.0026629641123031705,0.0014032271307982626,0.0017160000000000003,0.01,0.019984380906217087,0.011081831579780646,0.013200000000000017,0.0,-0.01144697388317361,0.002229197910737831,-1.1275702593849246e-15,0.0
0.14,0.0028622355111507414,0.0015141569661697907,0.0018480000000000005,0.01,0.019865615479091853,0.011101485869891903,0.013199999999999984,0.0,-0.012303558651904564,0.0016993369205591316,-1.6479873021779667e-15,0.0
0.15,0.0030602764218850076,0.0016252568481961006,0.00198,0.01,0.019738309733178996,0.011115818318191828,0.013199999999999984,0.0,-0.013154854064598154,0.001164958404077307,1.6479873021779667e-15,0.0
0.16,0.0032570017058143213,0.0017364733325336272,0.002112,0.01,0.01960251839779989,0.011124785037973449,0.013200000000000017,0.0,-0.014000494145474662,0.0006263220057753545,1.6479873021779667e-15,0.0
0.17,0.0034523267898410055,0.0018477525489555696,0.0022440000000000003,0.01,0.019458299850269502,0.011128344758307335,0.013200000000000017,0.0,-0.01484011535000107,8.369117163982767e-05,-1.1275702593849246e-15,0.0
0.18,0.0036461677028197114,0.001959040227699774,0.0023760000000000005,0.01,0.019305716090799868,0.011126458861406245,0.013199999999999995,0.0,-0.015673356721185305,-0.0004626669823003249,0.0,0.0
0.19,0.003838441111657003,0.0020702817261836945,0.0025080000000000002,0.01,0.019144832715845796,0.011119091418661329,0.013200000000000017,0.0,-0.016499860044766855,-0.0010124818041238291,1.1275702593849246e-15,0.0
0.2,0.004029064357136627,0.0021814220560730005,0.002640000000000001,0.01,0.01897571888990453,0.011106209225323769,0.013200000000000017,0.0,-0.017319270003186664,-0.001565479242749291,-2.168404344971009e-15,0.0
0.21,0.0042179554894550934,0.00229240591069017,0.0027720000000000006,0.01,0.018798447315782063,0.011087781833806343,0.013199999999999974,0.0,-0.018131234328358156,-0.0021213819872620276,-1.1275702593849246e-15,0.0
0.22,0.0044050333034522686,0.0024031776927491274,0.0029040000000000003,0.01,0.018613094203337368,0.011063781585578528,0.013199999999999995,0.0,-0.018935403953122647,-0.0026799096087149615,1.0408340855860843e-15,0.0
0.23,0.004590217373521841,0.0025136815424017405,0.0030360000000000005,0.01,0.01841973923671961,0.011034183641632044,0.013199999999999995,0.0,-0.019731433161280197,-0.003240778704284228,1.1275702593849246e-15,0.0
0.24,0.004773428088186661,0.0026238613655817683,0.0031680000000000002,0.01,0.018218465540111764,0.010998966011492844,0.013200000000000017,0.0,-0.020518979736237203,-0.0038037030438049096,1.1275702593849246e-15,0.0
0.25,0.004954586684324076,0.0027336608626315974,0.003300000000000001,0.01,0.018009359641994866,0.010958109580755946,0.013200000000000017,0.0,-0.02129770510813367,-0.004368393718536326,-1.1275702593849246e-15,0.0
0.26,0.005133615281026558,0.0028430235571968872,0.0034320000000000006,0.01,0.01779251143794909,0.010911598137122117,0.013199999999999995,0.0,-0.02206727449937558,-0.0049345592920743,0.0,0.0
0.27,0.005310436913083058,0.0029518928253740397,0.0035640000000000008,0.01,0.017568014152007354,0.01085941839491446,0.013200000000000017,0.0,-0.022827357068562655,-0.005501905953393064,-1.0408340855860843e-15,0.0
0.28,0.005484975564066705,0.0030602119250951764,0.003696000000000001,0.01,0.017335964296577838,0.010801560018054256,0.013199999999999974,0.0,-0.023577626052726994,-0.0060701376718608376,-3.2959746043559335e-15,0.0
0.29,0.005657156199014615,0.003167924025735125,0.0038280000000000002,0.01,0.017096461630952815,0.010738015641477243,0.013199999999999951,0.0,-0.024317758907815325,-0.00663895635419267,3.209238430557093e-15,0.0
0.3,0.005826904796685762,0.0032749722379247213,0.00396,0.01,0.01684960911842153,0.010668780890970403,0.013200000000000038,0.0,-0.02504743744733296,-0.007208062003249884,3.2959746043559335e-15,0.0
0.31,0.005994148381383045,0.003381299643554533,0.004092000000000001,0.01,0.016595512882006155,0.010593854401412245,0.013200000000000017,0.0,-0.025766347979134727,-0.0077771528785432024,-1.0408340855860843e-15,0.0
0.32,0.006158815054325885,0.003486849325952966,0.004224,0.01,0.016334282158838836,0.010513237833399539,0.013200000000000017,0.0,-0.026474181440312716,-0.008345925658462261,0.0,0.0
0.33,0.006320834024559822,0.0035915644002225237,0.004356000000000001,0.01,0.0160660292531999,0.010426935888243,0.013200000000000017,0.0,-0.02717063353003136,-0.008914075604051722,0.0,0.0
0.34,0.006480135639389883,0.003695388043717826,0.004488000000000001,0.01,0.01579086948823821,0.010334956321318504,0.013200000000000017,0.0,-0.027855404840350633,-0.00948129672424889,0.0,0.0
0.35000000000000003,0.006636651414324586,0.003798263526648894,0.004620000000000002,0.01,0.015508921156392888,0.010237309953758022,0.013200000000000017,0.0,-0.028528200984956342,-0.010047281942555247,-4.336808689942018e-15,0.0
0.36,0.0067903140625177405,0.0039001342427929866,0.004752000000000001,0.01,0.015220305468539082,0.0101340106824674,0.01319999999999993,0.0,-0.029188732725714175,-0.010611723264962892,-2.168404344971009e-15,0.0
0.37,0.006941057523695368,0.004000943740298242,0.004884,0.01,0.014925146501878605,0.010025075488458764,0.013199999999999974,0.0,-0.02983671609702119,-0.011174311949137782,4.336808689942018e-15,0.0
0.38,0.007088816992555313,0.004100635752562162,0.0050160000000000005,0.01,0.014623571146598659,0.009910524443484644,0.013200000000000017,0.0,-0.03047187252786356,-0.011734738674673301,0.0,0.0
